PLT_IND_DTM,RELATED_SCAN_WC,WORK_CENTRE_NAME_EN,TOTAL_PROCESSED,PROCESSED_OT,PROCESSED_LATE
2023/03/14,990913,TORONTO GW BMF / LPS 1021-LU14 / ILC1250,896,680,62
2022/12/08,990909,TORONTO GW BMF / LPS 1021-LU13 / ILC1249,1344,963,325
2022/09/23,990913,TORONTO GW BMF / LPS 1021-LU14 / ILC1250,1006,853,33
2022/10/31,300126,TORONTO GW BMF /LPS 1021-LU12 / ILC 1248,518,449,1
2022/12/19,800214,ST JOHN'S / ILC 1240,1098,1023,51
2023/05/10,990915,TORONTO GW BMF / LPS 1021-MU24 / ILC1254,1807,1366,94
2022/05/03,990706,BSS 1330 ST JOHN'S ORIGINATING,318,231,31
2022/12/07,990706,BSS 1330 ST JOHN'S ORIGINATING,964,747,76
2022/07/14,990913,TORONTO GW BMF / LPS 1021-LU14 / ILC1250,1557,1356,91
2022/05/23,990913,TORONTO GW BMF / LPS 1021-LU14 / ILC1250,87,87,0
2022/11/18,990911,TORONTO GW BMF / LPS 1021-MU23 / ILC1253,2366,1383,317
2022/12/07,990715,ST. JOHN'S / ILS OH4011,3,0,0
2022/07/11,990910,TORONTO GW BMF / LPS 1021-MU21 / ILC1251,1258,1047,44
2022/04/19,990706,BSS 1330 ST JOHN'S ORIGINATING,6,1,1
2022/06/27,990910,TORONTO GW BMF / LPS 1021-MU21 / ILC1251,1285,1038,123
2023/01/13,800509,TORONTO GW BMF / LPS 1021,16666,14844,1266
2022/05/10,990915,TORONTO GW BMF / LPS 1021-MU24 / ILC1254,2042,1246,222
2022/07/08,990914,TORONTO GW BMF / LPS 1021-MU22 / ILC1252,769,518,43
2022/11/28,990909,TORONTO GW BMF / LPS 1021-LU13 / ILC1249,893,846,19
2021/12/07,990915,TORONTO GW BMF / LPS 1021-MU24 / ILC1254,4,4,0
2023/03/20,800214,ST JOHN'S / ILC 1240,1196,1183,5
2021/11/19,862380,TORONTO GW BMF / EUS SS 1023,2,2,0
2023/04/28,990706,BSS 1330 ST JOHN'S ORIGINATING,472,297,24
2023/01/11,990909,TORONTO GW BMF / LPS 1021-LU13 / ILC1249,1269,816,166
2021/06/01,990915,TORONTO GW BMF / LPS 1021-MU24 / ILC1254,2,2,0
2022/11/08,990706,BSS 1330 ST JOHN'S ORIGINATING,622,437,81
2023/03/07,990910,TORONTO GW BMF / LPS 1021-MU21 / ILC1251,1946,973,300
2022/06/09,990915,TORONTO GW BMF / LPS 1021-MU24 / ILC1254,1208,1048,26
2022/12/06,990910,TORONTO GW BMF / LPS 1021-MU21 / ILC1251,2449,1503,597
2022/08/30,990706,BSS 1330 ST JOHN'S ORIGINATING,358,219,18
2022/11/16,800214,ST JOHN'S / ILC 1240,223,216,1
2021/06/17,990914,TORONTO GW BMF / LPS 1021-MU22 / ILC1252,1,1,0
2022/05/03,800214,ST JOHN'S / ILC 1240,639,195,419
2021/12/03,990915,TORONTO GW BMF / LPS 1021-MU24 / ILC1254,2,2,0
2022/12/20,990913,TORONTO GW BMF / LPS 1021-LU14 / ILC1250,1709,1273,369
2023/04/10,990910,TORONTO GW BMF / LPS 1021-MU21 / ILC1251,76,60,2
2023/05/24,800509,TORONTO GW BMF / LPS 1021,40,20,17
2021/11/08,990912,TORONTO GW BMF / LPS 1021-LU11 / ILC1247,1,0,0
2023/04/19,862380,TORONTO GW BMF / EUS SS 1023,10726,7527,2540
2022/06/02,800214,ST JOHN'S / ILC 1240,161,147,2
2023/03/16,990706,BSS 1330 ST JOHN'S ORIGINATING,138,111,2
2023/01/25,990915,TORONTO GW BMF / LPS 1021-MU24 / ILC1254,813,528,39
2023/04/18,300126,TORONTO GW BMF /LPS 1021-LU12 / ILC 1248,753,381,81
2023/04/05,990913,TORONTO GW BMF / LPS 1021-LU14 / ILC1250,816,428,62
2022/06/28,862380,TORONTO GW BMF / EUS SS 1023,27144,19944,5294
2023/02/03,990909,TORONTO GW BMF / LPS 1021-LU13 / ILC1249,1028,697,59
2022/06/23,800509,TORONTO GW BMF / LPS 1021,17151,14976,1944
2022/01/14,990912,TORONTO GW BMF / LPS 1021-LU11 / ILC1247,2,1,1
